Date Time,Open,High,Low,Close,Volume,Change %
2018-09-28 0:00:00,7.89,7.98,7.8,7.81,6990000,-0.89%
2018-09-27 0:00:00,7.89,7.95,7.88,7.88,3590000,-0.13%
2018-09-26 0:00:00,7.92,7.95,7.89,7.89,4800000,-0.50%
2018-09-25 0:00:00,7.9,7.99,7.88,7.93,2690000,0.63%
2018-09-24 0:00:00,8,8.06,7.85,7.88,3360000,-1.50%
2018-09-21 0:00:00,8,8.01,7.95,8,9100000,0.25%
2018-09-20 0:00:00,8,8.02,7.97,7.98,8270000,-0.13%
2018-09-19 0:00:00,7.99,8,7.96,7.99,6140000,0.50%
2018-09-18 0:00:00,8,8.01,7.95,7.95,4730000,-0.75%
2018-09-14 0:00:00,8,8.05,7.98,8.01,5050000,-0.25%
2018-09-13 0:00:00,8.03,8.09,7.99,8.03,12920000,0.75%
2018-09-12 0:00:00,8.28,8.29,7.89,7.97,13570000,-2.80%
2018-09-07 0:00:00,8.17,8.28,8.16,8.2,3660000,0.74%
2018-09-06 0:00:00,8.28,8.33,8.1,8.14,5180000,-0.97%
2018-09-05 0:00:00,8.4,8.45,8.22,8.22,5890000,-2.03%
2018-09-04 0:00:00,8.42,8.48,8.37,8.39,3320000,-0.36%
2018-09-03 0:00:00,8.62,8.63,8.42,8.42,3700000,-2.32%
2018-08-30 0:00:00,8.7,8.72,8.62,8.62,7250000,-0.92%
2018-08-29 0:00:00,8.71,8.71,8.63,8.7,1620000,0.35%
2018-08-28 0:00:00,8.66,8.75,8.65,8.67,2430000,-0.23%
2018-08-27 0:00:00,8.74,8.74,8.64,8.69,81040000,-0.57%
2018-08-24 0:00:00,8.6,8.74,8.52,8.74,2240000,1.16%
2018-08-23 0:00:00,8.61,8.66,8.55,8.64,2450000,0.23%
2018-08-21 0:00:00,8.68,8.69,8.62,8.62,1410000,-0.92%
2018-08-20 0:00:00,8.61,8.74,8.6,8.7,3500000,1.05%
2018-08-17 0:00:00,8.59,8.65,8.57,8.61,4620000,0.70%
2018-08-16 0:00:00,8.61,8.61,8.54,8.55,6530000,-0.70%
2018-08-15 0:00:00,8.67,8.71,8.59,8.61,2270000,-1.15%
2018-08-14 0:00:00,8.69,8.74,8.66,8.71,3580000,0.58%
2018-08-13 0:00:00,8.73,8.75,8.66,8.66,5050000,-1.03%
2018-08-10 0:00:00,8.82,8.82,8.72,8.75,1640000,-0.57%
2018-08-09 0:00:00,8.74,8.83,8.71,8.8,6350000,1.15%
2018-08-08 0:00:00,8.7,8.75,8.69,8.7,6650000,0.00%
2018-08-07 0:00:00,8.71,8.71,8.67,8.7,3490000,0.12%
2018-08-06 0:00:00,8.7,8.72,8.66,8.69,1320000,-0.11%
2018-08-03 0:00:00,8.7,8.72,8.68,8.7,2340000,-0.11%
2018-08-02 0:00:00,8.74,8.74,8.67,8.71,18470000,0.00%
2018-08-01 0:00:00,8.75,8.77,8.68,8.71,3610000,-0.46%
2018-07-31 0:00:00,8.69,8.75,8.68,8.75,4580000,0.46%
2018-07-30 0:00:00,8.75,8.77,8.68,8.71,1830000,0.11%
2018-07-27 0:00:00,8.67,8.78,8.64,8.7,3290000,0.93%
2018-07-26 0:00:00,8.7,8.72,8.62,8.62,4490000,-0.81%
2018-07-25 0:00:00,8.78,8.78,8.69,8.69,5900000,-1.03%
2018-07-24 0:00:00,8.81,8.83,8.74,8.78,2780000,-0.34%
2018-07-23 0:00:00,8.84,8.84,8.76,8.81,1750000,-0.45%
2018-07-20 0:00:00,8.81,8.85,8.7,8.85,2290000,0.34%
2018-07-19 0:00:00,8.76,8.85,8.73,8.82,2770000,0.80%
2018-07-18 0:00:00,8.69,8.75,8.67,8.75,1980000,0.81%
2018-07-17 0:00:00,8.6,8.68,8.6,8.68,1750000,0.23%
2018-07-16 0:00:00,8.62,8.66,8.56,8.66,73710000,0.46%
2018-07-13 0:00:00,8.58,8.63,8.53,8.62,4070000,1.17%
2018-07-12 0:00:00,8.64,8.64,8.52,8.52,6470000,-0.93%
2018-07-11 0:00:00,8.48,8.65,8.43,8.6,4090000,1.18%
2018-07-10 0:00:00,8.43,8.5,8.42,8.5,3620000,1.55%
2018-07-09 0:00:00,8.32,8.37,8.3,8.37,2690000,0.84%
2018-07-06 0:00:00,8.43,8.44,8.3,8.3,2130000,-1.66%
2018-07-05 0:00:00,8.4,8.44,8.36,8.44,1600000,0.48%
2018-07-04 0:00:00,8.38,8.45,8.37,8.4,2140000,0.24%
2018-07-03 0:00:00,8.44,8.46,8.36,8.38,2090000,0.24%
2018-07-02 0:00:00,8.48,8.49,8.31,8.36,3250000,-0.59%
2018-06-29 0:00:00,8.35,8.57,8.35,8.41,8240000,0.36%
2018-06-28 0:00:00,8.4,8.45,8.38,8.38,2820000,-0.24%
2018-06-27 0:00:00,8.5,8.54,8.4,8.4,3140000,-0.83%
2018-06-26 0:00:00,8.5,8.5,8.42,8.47,4060000,0.24%
2018-06-25 0:00:00,8.58,8.61,8.45,8.45,3920000,-1.05%
2018-06-22 0:00:00,8.57,8.65,8.52,8.54,2530000,-0.35%
2018-06-21 0:00:00,8.7,8.7,8.57,8.57,5230000,-0.23%
2018-06-20 0:00:00,8.58,8.7,8.58,8.59,3270000,1.06%
2018-06-19 0:00:00,8.62,8.64,8.5,8.5,4460000,-0.70%
2018-06-18 0:00:00,8.55,8.69,8.55,8.56,4080000,0.12%
2018-06-14 0:00:00,8.71,8.74,8.55,8.55,5730000,-1.04%
2018-06-13 0:00:00,8.61,8.67,8.58,8.64,3550000,0.47%
2018-06-12 0:00:00,8.78,8.85,8.6,8.6,6550000,-2.27%
2018-06-11 0:00:00,8.88,8.93,8.79,8.8,4520000,0.23%
2018-06-08 0:00:00,8.87,8.9,8.76,8.78,2730000,-0.90%
2018-06-07 0:00:00,8.81,8.98,8.81,8.86,5960000,0.68%
2018-06-06 0:00:00,8.85,8.87,8.8,8.8,2160000,-0.56%
2018-06-05 0:00:00,8.8,8.93,8.8,8.85,4260000,-1.12%
2018-06-04 0:00:00,8.85,8.95,8.68,8.95,6870000,0.56%
2018-06-01 0:00:00,8.8,8.96,8.73,8.9,4680000,1.25%
2018-05-31 0:00:00,8.61,8.9,8.61,8.79,24220000,2.21%
2018-05-30 0:00:00,8.85,8.85,8.6,8.6,7710000,-3.15%
2018-05-28 0:00:00,8.7,8.92,8.6,8.88,6380000,2.07%
2018-05-25 0:00:00,8.5,8.7,8.49,8.7,60000,3.08%
2018-05-24 0:00:00,8.5,8.5,8.4,8.44,6170000,0.12%
2018-05-23 0:00:00,8.7,8.7,8.4,8.43,5690000,-2.43%
2018-05-22 0:00:00,8.73,8.74,8.64,8.64,1260000,0.00%
2018-05-21 0:00:00,8.72,8.78,8.63,8.64,2280000,-0.35%
2018-05-18 0:00:00,8.85,8.88,8.67,8.67,3440000,-1.70%
2018-05-17 0:00:00,8.7,9,8.7,8.82,5420000,1.50%
2018-05-16 0:00:00,8.81,8.81,8.57,8.69,4920000,-0.80%
2018-05-15 0:00:00,8.99,8.99,8.73,8.76,6670000,-2.23%
2018-05-14 0:00:00,8.6,8.98,8.5,8.96,8550000,4.19%
2018-05-08 0:00:00,8.51,8.68,8.5,8.6,4740000,1.18%
2018-05-07 0:00:00,8.64,8.65,8.5,8.5,2430000,-1.51%
2018-05-04 0:00:00,8.7,8.74,8.63,8.63,1920000,-0.80%
2018-05-03 0:00:00,8.77,8.8,8.7,8.7,2580000,-0.68%
2018-05-02 0:00:00,8.93,8.93,8.72,8.76,3310000,-1.90%
2018-04-30 0:00:00,8.83,8.95,8.75,8.93,2290000,1.59%
2018-04-27 0:00:00,8.78,8.81,8.72,8.79,1430000,1.50%
2018-04-26 0:00:00,8.75,8.79,8.66,8.66,2980000,-1.03%
2018-04-25 0:00:00,8.81,8.81,8.73,8.75,1150000,0.00%
2018-04-24 0:00:00,8.91,8.91,8.75,8.75,4120000,-1.24%
2018-04-23 0:00:00,8.9,8.9,8.84,8.86,1930000,0.00%
2018-04-20 0:00:00,9.08,9.08,8.86,8.86,2740000,-2.10%
2018-04-19 0:00:00,9.09,9.09,9,9.05,5360000,-0.22%
2018-04-18 0:00:00,9.03,9.08,8.95,9.07,3080000,0.78%
2018-04-17 0:00:00,8.92,9.01,8.85,9,2730000,1.01%
2018-04-16 0:00:00,8.98,8.98,8.88,8.91,2240000,-0.56%
2018-04-13 0:00:00,8.91,9.02,8.91,8.96,2500000,-0.99%
2018-04-12 0:00:00,9.05,9.06,8.95,9.05,2770000,0.11%
2018-04-11 0:00:00,8.95,9.04,8.94,9.04,2550000,1.12%
2018-04-10 0:00:00,8.84,8.94,8.76,8.94,1900000,0.45%
2018-04-09 0:00:00,8.74,8.9,8.74,8.9,1500000,1.95%
2018-04-06 0:00:00,8.83,8.83,8.72,8.73,1230000,-1.24%
2018-04-05 0:00:00,8.75,8.86,8.66,8.84,2100000,1.84%
2018-04-04 0:00:00,8.8,8.84,8.47,8.68,6820000,-1.03%
2018-04-03 0:00:00,8.8,8.8,8.73,8.77,1660000,-0.34%
2018-04-02 0:00:00,8.78,8.83,8.76,8.8,2570000,0.80%
2018-03-30 0:00:00,8.73,8.84,8.7,8.73,1590000,0.34%
2018-03-29 0:00:00,8.83,8.89,8.69,8.7,8430000,-1.69%
2018-03-28 0:00:00,8.9,8.96,8.82,8.85,3560000,-0.56%
2018-03-27 0:00:00,8.93,9,8.85,8.9,1500000,0.45%
2018-03-26 0:00:00,8.94,8.98,8.83,8.86,2270000,-0.45%
2018-03-23 0:00:00,8.9,8.99,8.83,8.9,3640000,-1.33%
2018-03-22 0:00:00,9.03,9.08,8.92,9.02,1460000,-0.22%
2018-03-21 0:00:00,9,9.04,8.92,9.04,2090000,0.56%
2018-03-20 0:00:00,8.9,9,8.84,8.99,3370000,0.00%
2018-03-19 0:00:00,8.99,9.03,8.88,8.99,64820000,0.45%
2018-03-16 0:00:00,8.89,9.05,8.83,8.95,6000000,0.56%
2018-03-15 0:00:00,9,9.05,8.9,8.9,1610000,-1.66%
2018-03-14 0:00:00,8.91,9.06,8.88,9.05,2690000,1.46%
2018-03-13 0:00:00,8.91,9.05,8.85,8.92,3220000,-0.78%
2018-03-12 0:00:00,9,9.01,8.89,8.99,1890000,0.78%
2018-03-09 0:00:00,8.78,8.97,8.78,8.92,6330000,1.59%
2018-03-08 0:00:00,8.72,8.86,8.71,8.78,2680000,1.15%
2018-03-07 0:00:00,8.81,8.85,8.68,8.68,3990000,-1.48%
2018-03-06 0:00:00,8.88,8.93,8.78,8.81,3480000,-0.68%
2018-03-05 0:00:00,8.98,8.99,8.83,8.87,2470000,-0.67%
2018-03-02 0:00:00,9.07,9.07,8.93,8.93,3290000,-1.33%
2018-03-01 0:00:00,8.79,9.08,8.78,9.05,3930000,3.08%
2018-02-28 0:00:00,8.92,9.01,8.78,8.78,7950000,-1.57%
2018-02-27 0:00:00,8.92,9.01,8.9,8.92,4880000,0.00%
2018-02-26 0:00:00,9.1,9.16,8.92,8.92,3940000,-1.98%
2018-02-23 0:00:00,9.07,9.13,9.03,9.1,3270000,-0.11%
2018-02-22 0:00:00,9.11,9.17,9.07,9.11,2300000,-0.22%
2018-02-21 0:00:00,9.08,9.21,9.02,9.13,2430000,0.00%
2018-02-20 0:00:00,9.16,9.24,9.08,9.13,3150000,-0.87%
2018-02-19 0:00:00,9.09,9.25,9.04,9.21,9190000,2.22%
2018-02-15 0:00:00,8.97,9.08,8.96,9.01,3270000,1.01%
2018-02-14 0:00:00,8.89,8.95,8.88,8.92,2390000,0.68%
2018-02-13 0:00:00,8.89,8.95,8.82,8.86,3530000,0.68%
2018-02-12 0:00:00,8.85,8.97,8.8,8.8,4400000,0.23%
2018-02-09 0:00:00,8.89,8.95,8.78,8.78,7720000,-2.44%
2018-02-08 0:00:00,9.1,9.17,9,9,3910000,-0.44%
2018-02-07 0:00:00,9.26,9.35,9,9.04,6630000,-1.63%
2018-02-06 0:00:00,9.3,9.3,9.12,9.19,5980000,-1.82%
2018-02-05 0:00:00,9.37,9.48,9.34,9.36,4050000,-0.64%
2018-02-02 0:00:00,9.69,9.69,9.42,9.42,5140000,-2.18%
2018-01-30 0:00:00,9.56,9.67,9.56,9.63,2320000,-0.52%
2018-01-29 0:00:00,9.6,9.7,9.58,9.68,3030000,0.83%
2018-01-26 0:00:00,9.61,9.61,9.56,9.6,2680000,0.10%
2018-01-25 0:00:00,9.66,9.7,9.57,9.59,4010000,-0.72%
2018-01-24 0:00:00,9.8,9.8,9.66,9.66,3650000,-1.63%
2018-01-23 0:00:00,9.75,9.82,9.62,9.82,7650000,1.03%
2018-01-22 0:00:00,9.68,9.72,9.54,9.72,3670000,0.41%
2018-01-19 0:00:00,9.66,9.68,9.54,9.68,2450000,0.31%
2018-01-18 0:00:00,9.6,9.67,9.56,9.65,4900000,0.42%
2018-01-17 0:00:00,9.46,9.61,9.4,9.61,3770000,1.37%
2018-01-16 0:00:00,9.38,9.48,9.28,9.48,2310000,1.61%
2018-01-15 0:00:00,9.36,9.38,9.33,9.33,88100000,-0.32%
2018-01-12 0:00:00,9.19,9.36,9.18,9.36,4130000,1.96%
2018-01-11 0:00:00,9.35,9.39,9.18,9.18,2810000,-2.34%
2018-01-10 0:00:00,9.38,9.43,9.31,9.4,2050000,0.43%
2018-01-09 0:00:00,9.55,9.55,9.3,9.36,4290000,-1.47%
2018-01-08 0:00:00,9.63,9.63,9.46,9.5,3470000,-1.25%
2018-01-05 0:00:00,9.5,9.62,9.43,9.62,4340000,1.69%
2018-01-04 0:00:00,9.27,9.46,9.26,9.46,3830000,0.96%
2018-01-03 0:00:00,9.3,9.5,9.3,9.37,3420000,0.64%
2018-01-02 0:00:00,9.19,9.31,9.09,9.31,97330000,1.20%